event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_frame_start,associated_player_possession_event_id,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break,furthest_line_break_id,furthest_line_break_type,furthest_line_break_type_id,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_simultaneous_passing_options,passing_option_at_pass_moment,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1875301,201,201,00:12.1,00:12.1,0,12,0.0,1,1,left_to_right,8,player_possession,,,22542,Marta,19,CF,,,,,2334,Orlando Pride,0.78,1.25,3,center,2,middle_third,False,0.78,1.25,3,center,2,middle_third,False,,,,,,3,drawing,0,0,,,,,False,False,0.0,-53.13,4,sideway_right,,,1.44,1,jogging,7.73,7.73,0.0,25.7,25.7,24.92,24.92,0.0,26.8,26.8,0.0,False,False,13.0,unknown,1.0,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,149873.0,A. Moorhouse,1.0,GK,-26.58,1.07,3,center,1,defensive_third,False,-22.32,0.72,3,center,1,defensive_third,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,32.6,3,long,-176.98,2,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,True,True,,True,False
1_0,1,1875301,213,238,00:13.3,00:15.8,0,13,2.5,1,1,left_to_right,1,off_ball_run,8.0,run_ahead_of_the_ball,62445,B. Banda,19,CF,149873.0,A. Moorhouse,1.0,GK,2334,Orlando Pride,2.68,13.12,2,half_space_left,2,middle_third,False,15.41,12.48,2,half_space_left,2,middle_third,False,228.0,8_1,,,,3,drawing,0,0,,,,,False,False,12.34,-2.88,1,forward,False,False,18.35,2,running,9.25,3.42,-5.83,24.27,24.76,21.59,9.35,-12.24,28.23,27.74,-0.49,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,ahead,3.0,ahead,30.83,39.31,-25.62,0.9,3.0,center,1.0,defensive_third,False,-22.23,1.16,3.0,center,1.0,defensive_third,False,False,False,,False,True,0.0074,0.5371,0.9168,True,,True,1.0,False,,,,True,,,5.0,8.0,3.0,True,True,,,
1_1,2,1875301,217,238,00:13.7,00:15.8,0,13,2.1,1,1,left_to_right,1,off_ball_run,8.0,run_ahead_of_the_ball,63540,Adriana,16,LW,149873.0,A. Moorhouse,1.0,GK,2334,Orlando Pride,3.42,16.36,2,half_space_left,2,middle_third,False,13.11,15.66,2,half_space_left,2,middle_third,False,228.0,8_1,,,,3,drawing,0,0,,,,,False,False,9.27,-4.13,1,forward,False,False,16.67,2,running,6.74,7.02,0.28,23.57,24.76,20.15,11.65,-8.5,28.93,27.74,-1.19,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,ahead,3.0,ahead,32.78,38.2,-25.39,0.73,3.0,center,1.0,defensive_third,False,-22.23,1.16,3.0,center,1.0,defensive_third,False,True,False,,False,True,0.0061,0.5527,0.8939,True,,True,1.0,False,,,,True,,,5.0,7.0,2.0,True,True,,,
8_1,3,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,8,player_possession,,,149873,A. Moorhouse,1,GK,,,,,2334,Orlando Pride,-22.32,0.72,3,center,1,defensive_third,False,-22.32,0.72,3,center,1,defensive_third,False,,,,,,3,drawing,0,0,11,throw_in_for,,,False,False,0.0,-1.12,1,forward,,,10.57,1,jogging,10.32,10.32,0.0,23.16,23.16,45.48,45.48,0.0,29.34,29.34,0.0,False,False,1.0,pass_reception,1.0,pass,True,False,False,False,False,False,False,-176.98,2,backward,32.6,3,long,2,unsuccessful,7_1,,63540.0,Adriana,16.0,LW,8.56,15.83,2,half_space_left,2,middle_third,False,,,,,,,,0.5527,True,0.0061,False,3.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,,,,,10.0,10.0,True,442.0,3.0,True,,,False,,,False,,,first,1,around,2,34.38,3,long,26.07,1,forward,,,,,,,True,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,True,True,True,True,False
7_0,4,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,7,passing_option,,,62445,B. Banda,19,CF,149873.0,A. Moorhouse,1.0,GK,2334,Orlando Pride,10.54,13.23,2,half_space_left,2,middle_third,False,10.54,13.23,2,half_space_left,2,middle_third,False,228.0,8_1,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,,,,,False,False,0.0,2.33,1,forward,False,False,19.38,2,running,6.76,6.76,0.0,23.16,23.16,12.62,12.62,0.0,29.34,29.34,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,442.0,3.0,True,2,around,False,,,False,,,first,1,around,2,35.16,3,long,20.84,1,forward,,,,,,,True,10.0,5.0,5.0,3.0,ahead,3.0,ahead,35.16,35.16,-22.32,0.72,3.0,center,1.0,defensive_third,False,-22.32,0.72,3.0,center,1.0,defensive_third,False,False,False,,False,True,0.0074,0.5371,0.9168,True,228.0,True,,,,,,,2.0,True,,,,True,True,,,False
7_1,5,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,7,passing_option,,,63540,Adriana,16,LW,149873.0,A. Moorhouse,1.0,GK,2334,Orlando Pride,8.56,15.83,2,half_space_left,2,middle_third,False,8.56,15.83,2,half_space_left,2,middle_third,False,228.0,8_1,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,,,,,False,False,0.0,-7.66,1,forward,False,False,17.22,2,running,7.19,7.19,0.0,23.16,23.16,14.6,14.6,0.0,29.34,29.34,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,442.0,3.0,True,2,around,False,,,False,,,first,1,around,2,34.38,3,long,26.07,1,forward,,,,,,,True,10.0,5.0,5.0,3.0,ahead,3.0,ahead,34.38,34.38,-22.32,0.72,3.0,center,1.0,defensive_third,False,-22.32,0.72,3.0,center,1.0,defensive_third,False,True,False,,False,True,0.0061,0.5527,0.8939,True,228.0,True,,,,,,,2.0,True,,,,True,True,,,False
7_2,6,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,7,passing_option,,,149882,K. Abello,2,LB,149873.0,A. Moorhouse,1.0,GK,2334,Orlando Pride,5.36,25.28,1,wide_left,2,middle_third,False,5.36,25.28,1,wide_left,2,middle_third,False,228.0,8_1,,,,3,drawing,0,0,,,,,False,False,0.0,-23.4,1,forward,False,False,10.65,1,jogging,3.09,3.09,0.0,23.16,23.16,17.8,17.8,0.0,29.34,29.34,0.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,442.0,3.0,True,2,around,False,,,False,,,first,1,around,2,37.01,3,long,41.58,1,forward,,,,,,,True,10.0,6.0,4.0,3.0,ahead,3.0,ahead,37.01,37.01,-22.32,0.72,3.0,center,1.0,defensive_third,False,-22.32,0.72,3.0,center,1.0,defensive_third,False,False,False,,False,False,0.0019,0.6582,0.8324,True,228.0,True,,,,,,,2.0,True,,,,True,True,,,False
8_2,7,1875301,384,384,00:30.4,00:30.4,0,30,0.0,1,1,left_to_right,8,player_possession,,,22542,Marta,19,CF,,,,,2334,Orlando Pride,6.45,30.3,1,wide_left,2,middle_third,False,6.45,30.3,1,wide_left,2,middle_third,False,,,,,,3,drawing,0,0,,,11,throw_in_for,False,False,0.0,147.08,2,backward,,,11.96,1,jogging,1.96,1.96,0.0,22.5,22.5,16.05,16.05,0.0,30.0,30.0,0.0,True,True,7.0,throw_in_reception,1.0,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,7_3,,149882.0,K. Abello,2.0,LB,-0.75,33.4,1,wide_left,2,middle_third,False,,,,,,,,0.9547,False,0.0013,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,3.0,3.0,False,,,,,,,,,,,,,,,,7.84,1,short,156.71,2,backward,,,,,,,False,7.0,9.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,True,True,,True,False
7_3,8,1875301,384,384,00:30.4,00:30.4,0,30,0.0,1,1,left_to_right,7,passing_option,,,149882,K. Abello,2,LB,22542.0,Marta,19.0,CF,2334,Orlando Pride,-0.75,33.4,1,wide_left,2,middle_third,False,-0.75,33.4,1,wide_left,2,middle_third,False,384.0,8_2,,,,3,drawing,0,0,,,,,False,False,0.0,-95.29,4,sideway_right,False,False,3.9,1,jogging,7.72,7.72,0.0,22.5,22.5,23.25,23.25,0.0,30.0,30.0,0.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,7.84,1,short,156.71,2,backward,,,,,,,False,7.0,9.0,-2.0,1.0,behind,1.0,behind,7.84,7.84,6.45,30.3,1.0,wide_left,2.0,middle_third,False,6.45,30.3,1.0,wide_left,2.0,middle_third,False,True,False,,False,False,0.0013,0.9547,0.9669,True,384.0,True,,,,,,,1.0,True,,,,True,True,,,False
7_4,9,1875301,384,384,00:30.4,00:30.4,0,30,0.0,1,1,left_to_right,7,passing_option,,,151151,H. McCutcheon,12,LM,22542.0,Marta,19.0,CF,2334,Orlando Pride,0.39,26.73,1,wide_left,2,middle_third,False,0.39,26.73,1,wide_left,2,middle_third,False,384.0,8_2,,,,3,drawing,0,0,,,,,False,False,0.0,-159.86,2,backward,False,False,2.45,1,jogging,2.98,2.98,0.0,22.5,22.5,22.11,22.11,0.0,30.0,30.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,7.03,1,short,-149.5,2,backward,,,,,,,False,7.0,9.0,-2.0,1.0,behind,1.0,behind,7.03,7.03,6.45,30.3,1.0,wide_left,2.0,middle_third,False,6.45,30.3,1.0,wide_left,2.0,middle_third,False,False,False,,False,False,0.0016,0.7528,0.8416,True,384.0,True,,,,,,,1.0,True,,,,True,True,,,False
